Name,InterfaceIndex,DNSServer
END-EPAS108,12,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPAS98,12,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPWS1003,12,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1007,4,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1012,10,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1015,4,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1019,5,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1020,8,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1026,12,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS13,3,172.28.65.39 172.28.65.37
END-EPWS2017,11,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS2021,6,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS2023,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS227,12,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPWS304,3,172.28.65.39 172.28.65.37
END-EPWS308,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS3307,2,172.28.65.39 172.28.65.37 172.28.64.25
END-EPWS3407,6,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS353,10,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS402,18,172.28.65.37 172.28.64.25 172.28.64.26 172.28.65.39
END-EPWS408,8,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS410,4,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS462,5,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS475,4,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS478,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS482,8,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS486,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS499,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS95,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPAS99,12,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPWS1004,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1006,5,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1009,12,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1011,7,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS1013,11,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1016,3,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1017,3,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1022,5,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1024,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS1025,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS14,2,172.28.65.39 172.28.65.37
END-EPWS181,19,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPWS2018,6,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS2020,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS2022,6,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS226,12,172.28.65.39 172.28.64.26 172.28.65.37 172.28.64.25
END-EPWS257,6,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS305,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS309,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS310,2,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS3308,4,172.28.65.39 172.28.65.37 172.28.64.25
END-EPWS3404,6,172.28.65.39 172.28.65.37 172.28.64.25
END-EPWS39,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS406,5,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS409,15,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25
END-EPWS462,5,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS473,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS476,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS480,2,172.28.65.39 172.28.65.37 172.28.64.25 172.28.64.26
END-EPWS483,6,172.28.65.39 172.28.65.37 172.28.64.26 172.28.64.25